(-30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30),
(30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30),
(-30, -30, 30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, -30, 30, -30, -30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, 30, -30, -30, -30, -30, -30, -30, -30, -30),
(-30, -30, 30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, -30, -30, -30, 30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, -30, -30, -30, 30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, -30, 30, -30, -30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, -30, -30, -30, 30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, -30, 30, -30, -30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, -30, -30, -30, 30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, -30, 30, -30, -30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, -30, -30, -30, 30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, -30, 30, -30, -30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, -30, -30, -30, 30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, 30, -30, -30, -30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, -30, -30, -30, 30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, 30, -30, -30, -30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, -30, -30, -30, 30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, 30, -30, -30, -30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, -30, -30, -30, 30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, 30, -30, -30, -30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, -30, -30, -30, 30, -30, -30, -30, -30, -30),
(-30, -30, 30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, -30, -30, -30, 30, -30, -30, -30, -30, -30),
(-30, -30, 30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, -30, -30, -30, 30, -30, -30, -30, -30, -30),
(-30, -30, 30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, -30, -30, -30, 30, -30, -30, -30, -30, -30),
(-30, -30, 30, -30, -30, -30, -30, -30, -30, -30, -30, -30, -30),
(-30, -30, -30, -30, -30, -30, -30, 30, -30, -30, -30, -30, -30),
(20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20),
(-10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10),
(20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20),
(-10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10),
(60, -60, -60, -60, -60, -60, -60, -60, -60, -60, -60, -60, -60),
